"pid","birth","death","name","biography","birthplace"
"87942","1971-10-25",\N,"朱茵","朱茵中学就读路德会吕明才中学，1990年在香港演艺学院供读戏剧系，拥有天份的她，还未毕业，已受电影圈所留意，于1991年被邀请参与演出电影《逃学威龙续集》，担纲女主角。与此同时在年中，更被电视广播有限公司﹝TVB﹞发掘，加入电视台以供读生身份任节目主持人，不断努力的她，终于在1992年完成三年的演艺学院戏剧系的课程。同时更获得这年的最佳演员奖。　　毕业后，朱茵正式与无线(TVB)签约，首部电视剧《都市的童话》深受观众欢迎，其后所演的电视剧，如《原振侠》、《射雕英雄传》、《廉政行动组》，都担纲女主角，剧集收视十分理想，观众也给朱茵在戏剧的表现上有极高的评价，这样有天份的演员，电影圈怎会不向她招手，所以朱茵于短短几年间，在本港及外埠已拍了超过二十多部电影，如《超级计划》、《大话西游》等。　　朱茵的兴趣还不只演戏，于1996年初踏足乐坛，推出个人首张专辑《地震》，跟随在1997年推出第二张专辑《玻璃》及1998年第三张专辑《踢踢踏》。　　这位不止是歌影视迷心中的女神，甚至在1998年被世界名牌(YSL)选为《在男性眼中最令人心动的女人》的朱茵，不单是影视圈中可热的女演员，就连广告商也不放过她，形像清新鲜明的她确能与广告产品建立正面的形像，如：苏菲卫生护垫(1995─1999，台湾)(2000，中国)、Epson计算机打印机(1996─1998，香港)(1998—1999，大陆)等，而Epson更与朱茵签下合约，参与旗下产品开拓中国市场之广告，可见她被肯定的地位！　　1994年底约满无线(TVB)电视台。专注在电影方面发展，1995年初邀得前TVB艺员发展科经理陈美玲小姐代理一切娱乐事业之有关事务。　　毕业作品《赤脚走公园》荣获学院之最佳女演员奖。 后任TVB儿童节目《闪电传真机》主持。1995年，跟艺人周星驰和张敏拍戏。在于周星驰合作的代表作《大话西游》系列中扮演“紫霞仙子”令其名声大噪，并逐渐被中国大陆观众熟知。随后，和黄贯中拍拖，并长期在大陆拍摄影视作品，代表作品有反映中国抗日战争的电视剧《逐日英雄》等。最近几年，除了演戏其也在男友黄贯中的影响与帮助下，自费出唱片，代表专辑作品有《跳起来》、《Attitude》等。","Hong Kong"
"87944","1947-08-27",\N,"罗行堂","罗家英，香港知名演员。出身粤剧世家。1949年跟随父亲罗家权(罗仕干)往香港定居。8岁时跟随父亲罗家权、伯父罗家树学习粤剧基本功架，师随粉菊花、吕国铨、刘洵、李万春等京剧大师，红裤出身，由兵仔开始，21岁便担当演出文武生。1973年正式担正，演出《蟠龙令》，自此参与不少大戏，如《章台柳》、《万世流芳张玉桥》、《曹操与杨修》等，刘德华曾拜他为师学习粤剧。其间1982年至1984年在香港电台任全职节目主任，也曾参加港台节目《香江岁月之萧先生》，及演出电视剧《怒剑笑狂啸》、《共饮长江水》及《阿Sir早晨》。第一部电影是《重案组》，成绩理想。自此接拍不少搞笑影片，成为笑片新星。　　1982年至1984年在香港电台任全职节目主任，也曾参加港台节目《香江岁月之萧先生》，及演出电视剧《怒剑啸狂沙》、《共饮长江水》及《阿Sir早晨》。第一部电影是《重案组》，成绩理想。自此接拍不少搞笑影片，成为笑片新星。在《大话西游》饰演啰嗦的唐僧一角而名声大噪，成为内地观众熟知的香港演员。","Guangzhou, Guangdong, China"
"87945",\N,\N,"Yammie Lam Kit-Ying","",\N
"87948","1973-09-17",\N,"蔡少芬","","Hong Kong"
"87950",\N,\N,"Johnnie Kong","",\N
"88351","1945-09-24",\N,"陈观泰","","Guangdong, China"
"88495","1965-08-02",\N,"吴君如","吴君如，香港电影演员，电视、电台节目主持，外号三姑，16岁进入无线电视艺员训练班，1983年中学毕业后拍过《斗气一族》、《错体姻缘》等剧集，后转往电影圈发展，常扮演被消遣挖苦的角色，不惜自毁形象搞笑，由此赢得“女周星驰”称号。又称“大嘴姑婆”。另外亦有女版周星驰和搞笑女王之称，是两岸三地华人影坛和娱乐界的首席女笑星。",\N
"92833","1958-02-02",\N,"Vincent Wan Yeung-Ming","",\N
"94076","1962-09-11",\N,"苑琼丹","","Hong Kong, China"
"94077",\N,\N,"洪欣","",\N
"96546","1934-09-16",\N,"楚原","","Guangzhou, Guangdong, China"
"96613","1969-04-28",\N,"刘仪伟","",\N
"96856","1947",\N,"Yonfan","",\N
"96862","1968-03-18",\N,"胡军","",\N
"96889",\N,\N,"Ann Bridgewater","",\N
"99687","1964-12-19",\N,"张涵予","",\N
"99689","1979-02-08",\N,"邓超","",\N
"103598","1954-12-15",\N,"金燕玲","","Taiwan"
"103602",\N,\N,"Mabel Cheung","",\N
"105418",\N,\N,"向华强","",\N
"105421",\N,\N,"谷祖琳","",\N
"105940","1942-09-03",\N,"许冠文","","Panyu, Guangzhou, Guangdong, China"
"109301","1963-11-30",\N,"吴家丽","","Kowloon, Hong Kong"
"109304",\N,\N,"杨菁菁","",\N
"109434","1977-11-13",\N,"黄晓明","",\N
"109809","1976-02-04",\N,"陈坤","","Chongqing, Sichuan, China"
"109813","1997-08-05",\N,"Xu Jiao","",\N
"110844",\N,\N,"林国斌","",\N
"110845",\N,\N,"Carman Lee","",\N
"110847","1960-09-05",\N,"黄子华","","Hong Kong, China"
"111298","1954-11-27",\N,"郑丹瑞","","Hong Kong, China"
"112563",\N,\N,"Feng Yuanzheng","",\N
"113797","1960-03-25",\N,"陈玉莲","","Hong Kong"
"115610","1958-01-23",\N,"Tien Niu","",\N
"116052",\N,\N,"鲍汉琳","",\N
"116351","1945-06-01","2008-02-19","沈殿霞","",\N
"116636",\N,\N,"郭晓冬","",\N
"116896",\N,\N,"Ricky Ho Kwok-Kit","",\N
"116906","1952",\N,"John Shum Kin-Fun","",\N
"118350","1964-07-02",\N,"Cheung Tat-Ming","",\N
"118352","1963-02-23",\N,"刘以达","","Hong Kong, China"
"118355","1961-05-01",\N,"李力持","","Hong Kong, China"
"118726","1977-02-22",\N,"苗圃","",\N
"118745",\N,\N,"Fung Hak-On","",\N
"119426",\N,\N,"元秋","",\N
"119447","1955-02-01","2009-08-27","成奎安","","Hong Kong"
"119450","1918-10-07","2001-03-12","西瓜刨","",\N
"119454",\N,\N,"Mars","",\N
"120419","1978-08-21",\N,"吴辰君","",\N
"120725","1958-08-10",\N,"于荣光","","Beijing, China"
"121394","1928-06-04","2015-10-22","田丰","","Hunan Province, China"
"121709","1963-08-31",\N,"李美凤","",\N
"122816",\N,\N,"Lee Siu-Kei","",\N
"122818",\N,\N,"吴启华","",\N
"122820",\N,\N,"Kwong Leung Wong","",\N
"123202",\N,\N,"刘天兰","",\N
"124002","1940-05-05",\N,"Wang Hsieh","",\N
"124777",\N,\N,"Wong Chung","",\N
"126852",\N,\N,"Maria Cordero","",\N
"127410","1959-10-22",\N,"Candice Yu On-On","","Hong Kong - China"
"127436",\N,\N,"Felix Lok Ying-Kwan","",\N
"130561",\N,\N,"Henry Fong Ping","",\N
"130644","1966-12-06",\N,"周海媚","","Hong Kong"
"130985","1967-01-15",\N,"徐帆","","Wuhan, China"
"131465",\N,\N,"刘宝贤","",\N
"131728",\N,\N,"Yuen Tak","",\N
"134686",\N,\N,"Bradley James Allan","",\N
"134703","1945-01-15","2015-12-06","柯俊雄","","Tainan, Taiwan"
"134704","1942-08-18","2014-02-04","午马","","Tianjin, China"
"135836",\N,\N,"叶进","",\N
"140481",\N,\N,"Lau Kong","",\N
"143602","1978-02-21",\N,"龚蓓苾","","Fujian, China"
"144860","1971-08-27",\N,"张智霖","","Guangdong, China"
"146624","1967-11-10",\N,"周慧敏","",\N
"148752",\N,\N,"梁曼仪","",\N
"148884","1965-08-06",\N,"钱嘉乐","",\N
"148886","1957-07-25",\N,"Alex Man Chi-Leung","","Hong Kong"
"148891",\N,\N,"Lee Heung-Kam","",\N
"163441",\N,\N,"Michael McFall","",\N
"213438","1953-02-23",\N,"锺镇涛","",\N
"213441",\N,\N,"Leung Wing-Chung","",\N
"223917",\N,\N,"Elaine Eca Da Silva","",\N
"224925",\N,\N,"龙方","",\N
"224928",\N,\N,"李蕙敏","",\N
"224929",\N,\N,"陈法蓉","",\N
"226620",\N,\N,"锺景辉","",\N
"227778","1957-09-09",\N,"郑裕玲","","Hong Kong, China"
"227782","1949-01-20",\N,"梁家仁","","Hong Kong, China"
"227792","1968-12-13",\N,"杨丽菁","","Chiayi County, Taiwan"
"227804","1966-03-11",\N,"Suki Kwan","",\N
"229302","1930-07-03",\N,"谷峰","",\N
"230776","1960-12-25",\N,"周文健","北京出生，4岁来到香港。9岁时随家人移居加拿大。1985年回港，因外型健硕，被赏识拍了一个啤酒电视广告，后经朋友王敏德介绍给陈欣健认识，被安排参与许冠文的《神探朱古力》。后来拍过不少电影，但都是配角。后加入无线负责三个节目，一年后再度踏入电影圈，接拍钱升玮的《七月十四》，首度担任主角。","中国北京"
"230777",\N,\N,"Jessica Hsuan","",\N
"231909",\N,\N,"Amy Yip","",\N
"231913",\N,\N,"Ha Chi-Chun","",\N
"237235",\N,\N,"Lee Kin-Yan","",\N
"238973",\N,\N,"卢冠廷","",\N
"239010","1954-04-03",\N,"楼南光","","Hong Kong"
"239091",\N,\N,"任世官","",\N
"239961","1958-08-24",\N,"Billy Chow","","Canada"
"240161",\N,\N,"Meg Lam Kin-Ming","",\N
"240169","1950-07-28",\N,"李丽丽","",\N
"240171","1955-11-30",\N,"刘家辉","",\N
"240177","1948-01-28",\N,"黄百鸣","",\N
"270960",\N,\N,"Aman Chang","",\N
"296066",\N,\N,"Chun Wong","",\N
"327585","1954-11-15",\N,"赵雅芝","",\N
"543169",\N,\N,"王伍福","",\N
"543178",\N,\N,"张国立","",\N
"543848","1971-09-06",\N,"王学兵","王学兵，中国影视演员。1971年9月6日出生于新疆乌鲁木齐，1994年毕业于中央戏剧学院表演系。","乌鲁木齐，新疆，中国"
"544796",\N,\N,"Patrick Tse Yin","",\N
"545277","1976-08-16",\N,"林子聪","","Hong Kong"
"548045",\N,\N,"Wong Kam-Kong","",\N
"548371",\N,\N,"Ga-Ling Gung","",\N
"548474","1955-05-03",\N,"鬼媾人","","Hong Kong"
"548610","1942-06-17",\N,"Chiang Tao","","Taiwan"
"548616",\N,\N,"Wilson Lam","",\N
"551869",\N,\N,"陈豪","",\N
"552084","1965-09-04",\N,"Bowie Lam","",\N
"553881",\N,\N,"Parkman Wong","",\N
"553882",\N,\N,"Fan Wei Yee","",\N
"554120","1973-01-13",\N,"叶蕴仪","",\N
"554183",\N,\N,"Tam Sin-Hung","",\N
"556800","1967",\N,"陈加玲","",\N
"556938",\N,\N,"James Ha","",\N
"560190","1952-05-04",\N,"唐国强","",\N
"565456",\N,\N,"Sheila Chan","",\N
"567303","1930-01-18",\N,"胡枫","","Guangzhou, Guangdong, China"
"568979",\N,\N,"何东","",\N
"571521",\N,\N,"叶荣祖","",\N
"576408",\N,\N,"Bruce Leung Siu-Lung","",\N
"576426",\N,\N,"Nadia Chan","",\N
"579216","1969-09-15",\N,"袁洁莹","",\N
"583878",\N,\N,"Lei Yu","",\N
"584527","1944-03-28",\N,"王羽","","Wuxi, Jiangsu Province, China"
"588138","1975-09-03",\N,"陈晓东",""," Shanghai, China"
"588144",\N,\N,"Karel Wong Chi-Yeung","",\N
"589746",\N,\N,"Joanna Chan","",\N
"589911","1963-12-07",\N,"刘劲","",\N
"592328",\N,\N,"Wong Wan-Si","",\N
"592329",\N,\N,"秦沛","",\N
"612216",\N,\N,"高雄","",\N
"928166",\N,\N,"Michelle Bestbier","",\N
"931172","1970-06-27",\N,"陈建斌","",\N
"931174",\N,\N,"Emil Chow","",\N
"936009",\N,\N,"Chi Fai Chan","",\N
"936010",\N,\N,"Joe Cheng","",\N
"944021","1964-07-08",\N,"雷宇扬","",\N
"955784",\N,\N,"Lung Tin-sang","",\N
"956575",\N,\N,"黄一飞","",\N
"974461",\N,\N,"陈松勇","",\N
"975322","1969-05-21",\N,"Wyman Wong Wai-Man","",\N
"987137",\N,\N,"Nancy Sit Ka-Yin","",\N
"987139",\N,\N,"童爱玲","",\N
"990443","1951-12-03",\N,"Natalis Chan","","Hong Kong - China"
"990778",\N,\N,"Lam Kau","",\N
"994641",\N,\N,"吴志雄","",\N
"998494",\N,\N,"宁静","",\N
"998602",\N,\N,"Catherine Lau","",\N
"999460",\N,\N,"Chan Fai-Hung","",\N
"1000109",\N,\N,"Wan Chi-Keung","",\N
"1002925","1944-07-24",\N,"张同祖","","Guangxi, China"
"1031246",\N,\N,"佟大为","",\N
"1045536",\N,\N,"Matthew Wong Hin-Mung","",\N
"1054920",\N,\N,"Joe Cheng Cho","",\N
"1065282",\N,\N,"Ho Pak-Kwong","",\N
"1069676",\N,\N,"Josephine Koo","",\N
"1076049","1977-03-09",\N,"陈数","",\N
"1081493",\N,\N,"Helen Ma Hoi-Lun","",\N
"1090949",\N,\N,"Deric Wan Siu-Lun","",\N
"1092474",\N,\N,"Pauline Kwan","",\N
"1094209","1958-12-09",\N,"吴刚","吴刚，国家一级演员，出生于北京市，中国内地男演员，毕业于北京人民艺术剧院。2000年，主演风格独特的都市情感剧《堆积情感》。2004年，出演的侦探悬疑《黑蚂蚁》。2007年，出演的古装剧《秋海棠》。2009年，出演电视剧《潜伏》 ；同年，在电影《铁人》中饰演铁人王进喜，获得 第27届中国电影金鸡奖 最佳男主角 。2011年，出演《汉阳造》。2013年，出演谍战情感大剧《我的绝密生涯》。2014年参演电视剧《十月围城》。2015年出演电影《三体》。2017年凭借反腐剧《人民的名义》荣获第23届上海电视节最佳男配角奖。同年主演动作片《战狼2》。",\N
"1109778",\N,\N,"Lee Hoi-Sang","",\N
"1114832",\N,\N,"Yao Wen-Xue","",\N
"1114833",\N,\N,"Han Yong-Hua","",\N
"1119170",\N,\N,"Hau Woon-Ling","",\N
"1123830",\N,\N,"陈旭初","",\N
"1132614",\N,\N,"Tam Bing-Man","",\N
"1134165",\N,\N,"黄新","",\N
"1134504","1935-03-17","1993-06-02","田青",""," Shanghai, China"
"1134505","1919-09-23",\N,"Wong Ching-Ho","",\N
"1134729",\N,\N,"何家驹","",\N
"1134731",\N,\N,"John Ching Tung","",\N
"1134732",\N,\N,"Jamie Luk Kim-Ming","",\N
"1134734","1973-03-23","2002-07-31","陈宝莲","",\N
"1134735",\N,\N,"Stuart Ong","",\N
"1134736",\N,\N,"程守一","",\N
"1134944",\N,\N,"李家声","",\N
"1134946",\N,\N,"Cheung Kwok-Leung","",\N
"1135177",\N,\N,"Rachel Lee","",\N
"1135185",\N,\N,"James Lai Wing-Keung","",\N
"1135238","1925-10-23","2006-09-11","关海山","",\N
"1135394","1952-06-27",\N,"黄光亮","",\N
"1135395","1964-03-31",\N,"黄贯中","","Hong Kong"
"1135396","1962-06-10","1993-06-30","黄家驹","",\N
"1135397","1964-11-13",\N,"黄家强","",\N
"1135398","1963-08-19",\N,"叶世荣","","Hong Kong"
"1135781",\N,\N,"Mimi Chu Mai-Mai","",\N
"1135966",\N,\N,"Cheng Man-Fai","",\N
"1136392",\N,\N,"Steven Fung Min-Hang","",\N
"1136808",\N,\N,"Tenky Tin Kai-Man","",\N
"1138763",\N,\N,"Leung Ming","",\N
"1139041",\N,\N,"Edmond So Chi-Wai","",\N
"1139220",\N,\N,"Wong Hung","",\N
"1143686",\N,\N,"Alex Lam Chi-Sin","",\N
"1145460",\N,\N,"陈德容","",\N
"1147123",\N,\N,"卢海鹏","",\N
"1148003","1909-02-22","2007-10-15","钱似莺","","Shanghai, China"
"1155276",\N,\N,"Albert Lai","",\N
"1155647",\N,\N,"梁本熙","",\N
"1160575",\N,\N,"黄斌","",\N
"1160576",\N,\N,"植敬雯","",\N
"1163362",\N,\N,"Maggie Li Lin-Lin","",\N
"1164789",\N,\N,"Tony Leung Siu-Hung","",\N
"1166375",\N,\N,"Lee Ka-Ting","",\N
"1168410",\N,\N,"Go Wang","",\N
"1172165",\N,\N,"Tam Suk-Mooi","",\N
"1172981",\N,\N,"Samuel Leung Cheuk-Moon","",\N
"1173200",\N,\N,"Dung Chi-Wa","",\N
"1173203",\N,\N,"惠天赐","",\N
"1173215",\N,\N,"Lee Sheung-Ching","",\N
"1173216","1943-01-20",\N,"Chiu Chi-Ling","",\N
"1173223",\N,\N,"陈国坤","",\N
"1173224",\N,\N,"Jia Kang-Xi","",\N
"1173605","1967-07-06",\N,"江欣燕","","Hong Kong"
"1173757",\N,\N,"陈龙","",\N
"1174754",\N,\N,"Victor Chew","",\N
"1175533",\N,\N,"林小楼","",\N
"1178932",\N,\N,"Sunny Fang Kang","",\N
"1178934",\N,\N,"Michael Dinga","",\N
"1178938",\N,\N,"Paul Che Biu-Law","",\N
"1178940","1910","1995","许英秀","",\N
"1178945",\N,\N,"Chan Ging-Cheung","",\N
"1178954",\N,\N,"Lau Tin-Chi","",\N
"1183229",\N,\N,"单立文","",\N
"1184600","1953-12-07",\N,"陶泽如","",\N
"1190198",\N,\N,"Cho Ging-Man","",\N
"1190225",\N,\N,"Leung Sap-Yat","",\N
"1191058",\N,\N,"Peter Lai Bei-Dak","",\N
"1191929","1966-10-02",\N,"吴大维","吴大维，在台湾出生，个性随和亲切，活力充沛，酷爱打篮球，活脱脱是新一代阳光男孩，女孩子梦想中邻家的大哥哥。吴大维的生活方式，犹如他在银幕前的风格一样活跃，像是一个永远停不下来的好动宝宝，多才多艺的他一向都希望在娱乐圈，主持五个CHANNEL [V]的节目、令吴大维忙得不可开交，节目包括：《大潮流》、《NO SWEAT》、《GO WEST》及他周日晚上的清淡节目《吴满秀》及《百事可乐中文TOP20》，吴大维对工作非常认真，但却又是卫视CHANNEL [V]最爱开玩笑的主持人。","Massachusetts - USA"
"1192984",\N,\N,"Ben Wong Chi-Yin","",\N
"1193722",\N,\N,"Chan Chi-Fai","",\N
"1195450",\N,\N,"Baat Leung-Gam","",\N
"1195555",\N,\N,"Mak Hiu-Wai","",\N
"1195556",\N,\N,"Cheng Ka-Sang","",\N
"1201400",\N,\N,"Pomson Shi","",\N
"1201406",\N,\N,"施介强","",\N
"1201408",\N,\N,"Ha Chi-Jan","",\N
"1207686",\N,\N,"Yvonne Yung Hung","",\N
"1211897","1956-03-09",\N,"Chen Baoguo","","Tianjin - China"
"1233619",\N,\N,"Jimmy White","",\N
"1254216","1958-09-29",\N,"汤镇业","","Hong Kong - China"
"1265950",\N,\N,"Law Ho-Kai","",\N
"1265959",\N,\N,"Chan Ging","",\N
"1265974",\N,\N,"Mok Mei-Lam","",\N
"1269703",\N,\N,"Pak Man-Biu","",\N
"1275566","1935",\N,"杨群","",\N
"1275569",\N,\N,"Alex Ng Hong-Ling","",\N
"1277921",\N,\N,"Tse Wai-Kit","",\N
"1277930",\N,\N,"Kam Hing-Yin","",\N
"1287732","1958-03-17",\N,"冯小刚","",\N
"1297514",\N,\N,"Zhao Lei","",\N
"1298433",\N,\N,"梁克逊","",\N
"1298434",\N,\N,"Dai Lung","",\N
"1319279",\N,\N,"冯元炽","",\N
"1319985",\N,\N,"Kirk Wong Chi-Keung","",\N
"1329775","1964-07-08",\N,"黄一山","英国赫尔大学工商管理硕士出身的黄一山，曾担任过电视台编剧、演员和主持，但他最为人知的身份还是星爷昔日的“御用配角”，戏份不输吴孟达。黄一山的外号叫“细龟”。这是因为以前有一部卡通片说有四只龟一起住，每次干活总是大龟叫二龟，二龟叫三龟，三龟叫“细龟”。黄一山刚入行在电视台主持儿童节目时，就有点像片中的细龟一样任劳任怨，所以大家都叫他“细龟”。后来，他在《逃学威龙》里出演的角色便取名叫“黄小龟”，之后“小龟”这个雅号便被影迷们亲切地叫到现在。除了“黄小龟”一角，黄一山广为人知的角色还包括《唐伯虎点秋香》里的华武、《九品芝麻官》里的傻子以及《破坏之王》里的电视台主持人等角色。","Hong Kong"
"1334856","1947-06-21",\N,"May Law Koon-Lan","","Hong Kong - China"
"1335021",\N,\N,"You Liping","",\N
"1338533",\N,\N,"Radium Cheung","",\N
"1338555",\N,\N,"梁锦燊","",\N
"1345124","1952-02-07",\N,"刘永","母亲为粤语片甘草演员黎雯。香港圣保罗英文书院毕业后到香港英国皇家音乐学院学习钢琴，又学习武术，获空手道二段、柔道一段，曾任国术教师。1970年加入嘉禾担任演员及场记，在《唐山大兄》（1971）、《精武门》（1972）等电影中担任配角。1973年离开嘉禾。1975年加入邵氏，翌年在《乾隆皇帝奇遇记》中扮演乾隆而大受欢迎，随即主演多部乾隆皇帝系列电影。1984年加入亚洲电视台，主演多部剧集。1984年以后出演电视剧为主。踏入2000年，执导了《女男爵》。","Hong Kong"
"1345125",\N,\N,"Sarah Lee Lai-Yui","",\N
"1345126",\N,\N,"Andrew Wu Ying-Kin","",\N
"1346911",\N,\N,"So Hon-Sang","",\N
"1346930",\N,\N,"段伟伦","",\N
"1346994",\N,\N,"Yip San","",\N
"1356792",\N,\N,"Ricky Yi Fan-Wai","",\N
"1357048",\N,\N,"石燕子","",\N
"1357077",\N,\N,"Lung Ming-Yan","",\N
"1357125",\N,\N,"陈国邦","",\N
"1364713",\N,\N,"黄杏秀","",\N
"1365929",\N,\N,"Maggie Chan Mei-Kei","",\N
"1371594",\N,\N,"Pang Chi-Ching","",\N
"1395247",\N,\N,"卢宛茵","",\N
"1398251",\N,\N,"Jackson Ng Yuk-Sue","",\N
"1402393",\N,\N,"邓浩光","",\N
"1402734",\N,\N,"Yiu Wai","",\N
"1404511",\N,\N,"Nancy Lan Sai","",\N
"1405054",\N,\N,"Gilbert Lam Wai-San","",\N
"1407172",\N,\N,"古巨基","",\N
"1407468",\N,\N,"Cutie Mui Siu-Wai","",\N
"1407526",\N,\N,"Vivian Lai Shui-Yan","",\N
"1407528",\N,\N,"Joey Leung Wing-Chung","",\N
"1408318",\N,\N,"Garry Chan Chi-Shing","",\N
"1413335",\N,\N,"Chang Gan-Wing","",\N
"1414033",\N,\N,"Celia Sze Lim-Tse","",\N
"1414273",\N,\N,"Chow Chi-Fai","",\N
"1415225",\N,\N,"Wong Chi-Keung","",\N
"1415252",\N,\N,"Ben Wong Tin-Dok","",\N
"1415347",\N,\N,"简达华","",\N
"1415348",\N,\N,"雷达","",\N
"1415799",\N,\N,"Chang Kin-Ming","",\N
"1416929",\N,\N,"Vindy Chan","",\N
"1416970",\N,\N,"Lo Hung","",\N
"1417207",\N,\N,"Chow Yee-Fan","",\N
"1417211",\N,\N,"Jacky Cheung Chun-Hung","",\N
"1417223",\N,\N,"Bruce Law Lai-Yin","",\N
"1418476","1960-06-21",\N,"李强","",\N
"1427509",\N,\N,"Chan San-Hiu","",\N
"1427514",\N,\N,"Saul Bamberger","",\N
"1427517",\N,\N,"Peter Mahlangu","",\N
"1427518",\N,\N,"Bo Kaesje","",\N
"1427519",\N,\N,"Elias Meintjies","",\N
"1427521",\N,\N,"Chow Mei-Yan","",\N
"1427539",\N,\N,"Heung Dip","",\N
"1427540",\N,\N,"谭淑梅","",\N
"1427638",\N,\N,"Jonathan Chik Gei-Yee","",\N
"1427641",\N,\N,"Cheng Kwun-Min","",\N
"1428283",\N,\N,"Elaine Law Suet-Ling","",\N
"1513147",\N,\N,"Chan Tung","",\N
"1555354",\N,\N,"王书麒","",\N
"1562576",\N,\N,"刘仪伟","",\N
"1574333",\N,\N,"梁韵蕊","",\N
"1575541",\N,\N,"朱铁和","",\N
"1577825",\N,\N,"Leung Yuen-Jing","",\N
"1580525",\N,\N,"颜丽如","",\N
"1588386",\N,\N,"Lau Cheun","",\N
"1591060",\N,\N,"左颂昇","",\N
"1595682",\N,\N,"陈明君","",\N
"1596465",\N,\N,"Tung Chi","",\N
"1596646",\N,\N,"古明华","",\N
"1606748",\N,\N,"黄贻青","",\N
"1614091",\N,\N,"林琪欣","",\N
"1616889",\N,\N,"Wong Kwan-Hong","",\N
"1617133",\N,\N,"陆树铭","",\N
"1619790",\N,\N,"张武孝","",\N
"1619870",\N,\N,"Tse Ning","",\N
"1619922",\N,\N,"Chan Kim-Wan","",\N
"1619923",\N,\N,"Charles Shen","",\N
"1623210",\N,\N,"Sing Yan","",\N
"1624092",\N,\N,"刘沙","",\N
"1624093",\N,\N,"Wang Jian","",\N
"1624094",\N,\N,"Jin Xin","",\N
"1624095",\N,\N,"Wong Bing","",\N
"1624096",\N,\N,"修宗迪","",\N
"1624097",\N,\N,"杨晓丹","",\N
"1624098",\N,\N,"Donald Freeman","",\N
"1624693","1963-03-15","2015-01-10","司马燕","",\N
"1624721",\N,\N,"Joyce Chan Yin-Hang","",\N
"1624722",\N,\N,"Mei Yee","",\N
"1624725",\N,\N,"黄美琪","",\N
"1625569",\N,\N,"Kwok Kwan-Shing","",\N
"1625570",\N,\N,"Leung Shiu-Choi","",\N
"1625571",\N,\N,"Kwok Chi-Ho","",\N
"1626384",\N,\N,"Wong Chak-Man","",\N
"1632540",\N,\N,"Dave Lam Ching","",\N
"1639507",\N,\N,"Jacqueline Li","",\N
"1676386",\N,\N,"Kai Shi Chen","",\N
"1749439","1949-06-18","2017-03-30","Phillip Ko","","Hong Kong, China"
"1910037",\N,\N,"Cally Kwong","",\N
"1910038",\N,\N,"Chia Yung Liu","",\N
